"","X","Exercise","Group1"
"1",373,"Kettlebell One-Hand Side Swing","WholeBody"
"2",371,"Kettlebell Swing","WholeBody"
"3",372,"Kettlebell Woodchop Swing","WholeBody"
"4",NA,"Goblet Squat","UpperLeg"
"5",NA,"Kettlebell Laying Hip Bridge","UpperLeg"
"6",367,"Kettlebell One-leg Opposite-side Deadlift","UpperLeg"
"7",374,"Kettlebell One-leg Same-side Deadlift","UpperLeg"
"8",NA,"Leg Curl","UpperLeg"
"9",NA,"Leg Extension","UpperLeg"
"10",NA,"Leg Press","UpperLeg"
"11",NA,"Romanian Deadlifts","UpperLeg"
"12",108,"Overhead Triceps Extensions","Triceps"
"13",102,"Tricep Throwback","Triceps"
"14",13,"Triceps Extension","Triceps"
"15",67,"Triceps Kickbacks","Triceps"
"16",75,"Arnold Press","Shoulders"
"17",99,"Bent-over Flyes","Shoulders"
"18",64,"Cuban Press","Shoulders"
"19",8,"Front Lateral Raise","Shoulders"
"20",109,"Lateral Raise","Shoulders"
"21",98,"Shoulder Shrug","Shoulders"
"22",6,"Upright Row","Shoulders"
"23",NA,"Seated Calf Raise","LowerLegs"
"24",97,"Standing Heel Raises","LowerLegs"
"25",NA,"Farmer One Hand Steps","Forearms"
"26",NA,"One Arm Farmers Steps","Forearms"
"27",59,"Cobra","Core"
"28",39,"Decline Crunches","Core"
"29",442,"Hanging Alternating Leg Lift/knee Lift","Core"
"30",65,"High Plank Pull-Through","Core"
"31",NA,"Incline Cobras","Core"
"32",368,"Kettlebell Laying Hip Thrust","Core"
"33",103,"Kneeling Wood Throws","Core"
"34",50,"Laying Heel Touches","Core"
"35",47,"Laying Leg Lift And Hold","Core"
"36",10,"Leg Raise","Core"
"37",4,"One leg cobra","Core"
"38",53,"Plank","Core"
"39",100,"Russian Twist","Core"
"40",38,"Standing Crunch","Core"
"41",569,"Standing Knee Lift With Twist","Core"
"42",37,"Standing Side Bend","Core"
"43",370,"Kettlebell Figure-8s","Compound"
"44",369,"Kettlebell Slingshot","Compound"
"45",101,"Renegade Row","Compound"
"46",106,"Bench Press","Chest"
"47",14,"bench reverse press","Chest"
"48",554,"Flyes","Chest"
"49",68,"Incline Press","Chest"
"50",71,"Incline Two Arm Extension","Chest"
"51",5,"Shoulder Press","Chest"
"52",104,"Biceps Curl","Biceps"
"53",9,"Concentration Curls","Biceps"
"54",107,"Hammer Curls","Biceps"
"55",664,"High Bicep Curls","Biceps"
"56",66,"Incline Curls","Biceps"
"57",69,"Incline Spider Curls","Biceps"
"58",7,"Reverse Bicep Curls","Biceps"
"59",NA,"Bent-over Row","Back"
"60",44,"Laying Elbow-back Lifts","Back"
"61",12,"One-Arm Rows","Back"
"62",56,"Superman","Back"
"63",NA,"Wide-Grip Lat Pulldowns","Back"
"64",NA,"AK Alternating Leg Lifts","Core"
"65",NA,"AK Laying Donkey Kicks","Core"
"66",NA,"AK Laying Hamstring Curls","UpperLeg"
"67",NA,"AK Side Leg Raises","UpperLeg"
"68",NA,"Alternating Hammer Curls","Biceps"
"69",NA,"Bands 45-Second Tricep Extension","Triceps"
"70",NA,"Bands Bench Press","Chest"
"71",NA,"Bands Laying Leg Press Doubled","UpperLeg"
"72",NA,"Bands Shoulder Press","Shoulders"
"73",NA,"Bands Standing Hammer Curls","Biceps"
"74",NA,"Bands Tricep Extension","Triceps"
"75",NA,"Barbell Bent Over Rows","Back"
"76",NA,"Barbell Clean","WholeBody"
"77",NA,"Barbell Curls","Biceps"
"78",NA,"Barbell Deadlift","Compound"
"79",NA,"Barbell Overhead Press","Shoulders"
"80",NA,"Barbell Overhead Tricep Extension","Triceps"
"81",NA,"Barbell Push Press","Shoulders"
"82",NA,"Barbell Shrugs","Back"
"83",NA,"Bent Arm Pullover","Back"
"84",NA,"BW Bird Dog","Core"
"85",NA,"BW Laying Side Leg Raise","UpperLeg"
"86",NA,"BW Push Up - Narrow Grip","Triceps"
"87",NA,"BW Side Plank Bends","UpperLeg"
"88",NA,"Chest Supported Rows","Back"
"89",NA,"CL LH One-arm Row","Back"
"90",NA,"CM HL FLY","Chest"
"91",NA,"CM HL One-arm Row","Back"
"92",NA,"CM One-arm IR","Shoulders"
"93",NA,"CM One-arm OR","Shoulders"
"94",NA,"CM One-arm Reverse Star","Back"
"95",NA,"CM Straight Arm Pulldown","Back"
"96",NA,"DB Bench Press - Banded","Chest"
"97",NA,"DB Bench Press - Close Grip","Triceps"
"98",NA,"DB Calf Raises","LowerLegs"
